reported_date,reported_date_year,reported_date_mon,reported_date_mon,victim_race,victim_age,victim_sex,city,lat,lon,disposition
20161003,2016,10,10,Black,36,Male,New York,40.84078,-73.93625,Closed by arrest
20161005,2016,10,10,Hispanic,38,Female,New York,40.68773,-73.93749,Closed without arrest
20161005,2016,10,10,Black,37,Male,New York,40.67278,-73.86647,Closed by arrest
20161006,2016,10,10,Hispanic,63,Male,New York,40.79829,-73.96267,Closed by arrest
20161008,2016,10,10,Hispanic,56,Male,New York,40.83878,-73.8647,Closed by arrest
20161008,2016,10,10,White,44,Male,New York,40.60635,-73.94199,Closed by arrest
20161009,2016,10,10,Asian,69,Female,New York,40.90347,-73.84463,Open/No arrest
20161013,2016,10,10,Hispanic,22,Male,New York,40.69342,-73.84807,Open/No arrest
20161013,2016,10,10,Hispanic,47,Male,New York,40.85919,-73.90068,Open/No arrest
20161013,2016,10,10,Black,0,Male,New York,40.83342,-73.90001,Open/No arrest
20161015,2016,10,10,Hispanic,19,Male,New York,40.84194,-73.91425,Open/No arrest
20161017,2016,10,10,Black,18,Male,New York,40.82226,-73.94054,Closed by arrest
20161023,2016,10,10,Hispanic,28,Male,New York,40.8127,-73.92162,Closed by arrest
20161029,2016,10,10,Black,44,Female,New York,40.67847,-73.78245,Closed by arrest
20161030,2016,10,10,Black,36,Male,New York,40.69723,-73.78432,Closed by arrest
20161030,2016,10,10,Black,70,Male,New York,40.84628,-73.89206,Open/No arrest
20161101,2016,11,11,Hispanic,25,Male,New York,40.82146,-73.8662,Open/No arrest
20161101,2016,11,11,Black,31,Male,New York,40.66937,-73.92039,Closed by arrest
20161102,2016,11,11,Hispanic,45,Female,New York,40.81932,-73.91538,Closed by arrest
20161103,2016,11,11,Hispanic,45,Female,New York,40.82995,-73.93005,Closed by arrest
20161104,2016,11,11,White,41,Male,New York,40.83713,-73.86719,Closed without arrest
20161107,2016,11,11,Asian,49,Female,New York,40.75353,-73.99454,Closed by arrest
20161108,2016,11,11,Black,38,Male,New York,40.85895,-73.92293,Closed without arrest
20161111,2016,11,11,Hispanic,49,Male,New York,40.66358,-73.89665,Closed by arrest
20161113,2016,11,11,White,26,Male,New York,40.75915,-73.96084,Closed by arrest
20161113,2016,11,11,White,22,Male,New York,40.86189,-73.85766,Open/No arrest
20161114,2016,11,11,Hispanic,45,Male,New York,40.67626,-73.88404,Closed by arrest
20161120,2016,11,11,Hispanic,19,Male,New York,40.82388,-73.89186,Closed by arrest
20161122,2016,11,11,White,30,Male,New York,40.66853,-73.8485,Closed by arrest
20161123,2016,11,11,Black,37,Male,New York,40.8248,-73.90818,Closed by arrest
